2A	1835856	1836295	3.2	1940768	1942388	color=vvdgreen
2A	1835856	1836295	3.2	1936381	1937908	color=vvdgreen
2A	260358	260563	3.2	334115	334552	color=vvdgreen
1A	3134795	3135066	3.4	1575830	1576106	color=vvdgreen
5A	1087431	1088029	3.11	321590	322014	color=vvdgreen
5A	1087431	1088029	3.11	322542	323396	color=vvdgreen
2A	221856	223357	3.2	303299	303840	color=vvdgreen
2A	221856	223357	3.2	287753	289223	color=vvdgreen
RA	376672	376883	3.1	2095472	2096677	color=vvdgreen
3A	1003910	1004143	3.3	917483	917766	color=vvdgreen
3A	1003910	1004143	3.3	918093	918560	color=vvdgreen
3A	1003910	1004143	3.3	917474	917746	color=vvdgreen
4A	472512	476909	3.1	339192	339859	color=vvdgreen
3A	400582	402045	3.3	21427	21645	color=vvdgreen
6A	543324	543562	3.3	1661992	1662928	color=vvdgreen
1A	2886211	2886869	3.4	1347627	1348482	color=vvdgreen
1A	2886211	2886869	3.4	1331622	1331934	color=vvdgreen
3A	1271275	1271564	3.3	850716	852306	color=vvdgreen
3A	1271275	1271564	3.3	850688	851016	color=vvdgreen
2A	404064	404463	3.2	764506	764745	color=vvdgreen
2A	404064	404463	3.2	761635	761898	color=vvdgreen
3A	1063296	1063900	3.3	577334	577776	color=vvdgreen
4A	893653	894560	3.9	403089	403295	color=vvdgreen
4A	893653	894560	3.9	402248	402847	color=vvdgreen
2A	304603	304895	3.2	396479	396925	color=vvdgreen
1A	1721855	1722721	3.5	639739	640348	color=vvdgreen
RA	845034	845332	3.1	1626210	1626600	color=vvdgreen
1A	3033446	3034533	3.4	1484972	1485246	color=vvdgreen
1A	1205131	1205552	3.6	1205203	1206149	color=vvdgreen
5A	971203	971568	3.11	174512	174733	color=vvdgreen
7A	78171	78987	3.7	130873	131995	color=vvdgreen
6A	214128	214329	3.3	2093660	2093995	color=vvdgreen
3A	1143815	1145328	3.3	999350	999617	color=vvdgreen
3A	1143815	1145328	3.3	995107	996116	color=vvdgreen
RA	1611101	1611638	3.4	84888	85367	color=vvdgreen
RA	1611101	1611638	3.4	87826	88117	color=vvdgreen
2A	559502	559772	3.2	609689	610016	color=vvdgreen
5A	924266	924642	3.8	528279	528684	color=vvdgreen
5A	924266	924642	3.8	526106	526927	color=vvdgreen
5A	924266	924642	3.8	527198	528625	color=vvdgreen
1A	3150306	3150830	3.4	1605977	1606519	color=vvdgreen
3A	1003108	1003735	3.3	917483	917766	color=vvdgreen
3A	1003108	1003735	3.3	917474	917746	color=vvdgreen
3A	1721533	1727371	3.9	64843	65218	color=vvdgreen
3A	1721533	1727371	3.9	63003	63773	color=vvdgreen
1A	2064894	2065500	3.4	934537	934944	color=vvdgreen
1A	2064894	2065500	3.4	934147	934357	color=vvdgreen
1A	1721098	1721372	3.5	639739	640348	color=vvdgreen
4A	127270	128372	3.1	164309	164718	color=vvdgreen
4A	127270	128372	3.1	163605	164739	color=vvdgreen
3A	282328	285039	3.3	131478	132064	color=vvdgreen
3A	282328	285039	3.3	130804	131049	color=vvdgreen
1A	735831	736687	3.6	659079	659299	color=vvdgreen
RA	35343	35580	3.1	2460452	2460915	color=vvdgreen
1A	2616076	2616305	3.4	1000274	1001360	color=vvdgreen
3A	420268	420500	3.3	680369	681028	color=vvdgreen
3A	420268	420500	3.3	665896	666412	color=vvdgreen
1A	2788119	2789044	3.4	1236387	1237523	color=vvdgreen
1A	2788119	2789044	3.4	1237721	1238053	color=vvdgreen
1A	2788119	2789044	3.4	1236554	1237288	color=vvdgreen
1A	2164412	2164872	3.4	812070	812862	color=vvdgreen
1A	2631415	2631648	3.4	982056	983582	color=vvdgreen
1A	2631415	2631648	3.4	983411	984241	color=vvdgreen
1A	2631415	2631648	3.4	981532	982603	color=vvdgreen
1A	2405721	2406092	3.5	863831	864069	color=vvdgreen
RA	1061081	1061295	3.1	1198375	1198934	color=vvdgreen
RA	281186	281447	3.1	2189658	2190418	color=vvdgreen
4A	396481	397780	3.1	518030	518629	color=vvdgreen
4A	396481	397780	3.1	522314	523194	color=vvdgreen
RA	641475	641683	3.1	1838230	1838709	color=vvdgreen
RA	641475	641683	3.1	1838390	1839824	color=vvdgreen
1A	3034212	3034414	3.4	1484972	1485246	color=vvdgreen
RA	842516	842859	3.1	1630075	1630888	color=vvdgreen
RA	1103532	1103761	3.1	1213435	1213715	color=vvdgreen
RA	1103532	1103761	3.1	1213390	1214684	color=vvdgreen
RA	814761	815416	3.1	1657746	1658294	color=vvdgreen
3A	983802	984888	3.3	899461	900573	color=vvdgreen
1A	2395524	2395869	3.5	842865	843190	color=vvdgreen
1A	2395524	2395869	3.5	851605	852266	color=vvdgreen
1A	1194210	1194531	3.6	1205203	1206149	color=vvdgreen
1A	2428393	2429896	3.5	875722	876378	color=vvdgreen
RA	729409	729796	3.1	1745901	1746733	color=vvdgreen
RA	1477746	1478889	3.1	1573133	1573434	color=vvdgreen
6A	459099	459341	3.3	1970447	1970993	color=vvdgreen
4A	715532	716531	3.1	1010794	1011274	color=vvdgreen
3A	334640	335222	3.3	74621	74935	color=vvdgreen
3A	1305352	1305576	3.3	412666	412962	color=vvdgreen
3A	1305352	1305576	3.3	413139	414194	color=vvdgreen
3A	1681158	1682703	3.9	103702	105879	color=vvdgreen
5A	208800	209302	3.8	272314	272816	color=vvdgreen
1A	1369572	1369776	3.5	1275139	1276046	color=vvdgreen
1A	1369572	1369776	3.5	1275368	1275756	color=vvdgreen
2A	1652926	1654154	3.2	1595185	1595732	color=vvdgreen
2A	1652926	1654154	3.2	1594242	1595749	color=vvdgreen
RA	2161355	2161681	3.10	96282	96759	color=vvdgreen
3A	424102	424503	3.3	680369	681028	color=vvdgreen
3A	424102	424503	3.3	665896	666412	color=vvdgreen
3A	1548508	1548978	3.9	267586	268066	color=vvdgreen
2A	422474	422676	3.2	748870	749136	color=vvdgreen
1A	2512118	2513128	3.5	928715	928965	color=vvdgreen
RA	237403	237969	3.1	2228845	2229730	color=vvdgreen
2A	1840153	1842567	3.2	1940768	1942388	color=vvdgreen
2A	1840153	1842567	3.2	1936381	1937908	color=vvdgreen
2A	1840153	1842567	3.2	1941696	1943227	color=vvdgreen
3A	521848	523354	3.3	765167	766457	color=vvdgreen
3A	521848	523354	3.3	765810	766505	color=vvdgreen
1A	21736	22151	3.6	17839	18165	color=vvdgreen
3A	1671570	1673033	3.9	114088	114577	color=vvdgreen
6A	90557	90792	3.3	2128833	2129364	color=vvdgreen
6A	90557	90792	3.3	2127136	2129643	color=vvdgreen
2A	1841008	1842778	3.2	1940768	1942388	color=vvdgreen
2A	1841008	1842778	3.2	1941696	1943227	color=vvdgreen
2A	309078	309438	3.2	396479	396925	color=vvdgreen
3A	282134	285025	3.3	131478	132064	color=vvdgreen
3A	282134	285025	3.3	130804	131049	color=vvdgreen
RA	201828	202073	3.1	2264263	2265978	color=vvdgreen
RA	201828	202073	3.1	2264246	2265437	color=vvdgreen
1A	2870838	2871104	3.4	1317523	1317812	color=vvdgreen
5A	637256	637757	3.11	27189	27488	color=vvdgreen
4A	129408	131513	3.1	164309	164718	color=vvdgreen
4A	129408	131513	3.1	163605	164739	color=vvdgreen
3A	641119	641576	3.3	1174689	1175181	color=vvdgreen
1A	2502611	2503086	3.5	932198	932794	color=vvdgreen
1A	2502611	2503086	3.5	928715	928965	color=vvdgreen
1A	2403038	2403417	3.5	859387	859624	color=vvdgreen
2A	243351	243592	3.2	319940	320537	color=vvdgreen
1A	778592	779022	3.6	139115	139804	color=vvdgreen
6A	365543	365892	3.3	1858011	1858314	color=vvdgreen
6A	365543	365892	3.3	1853735	1853998	color=vvdgreen
6A	91125	92428	3.3	2128833	2129364	color=vvdgreen
6A	91125	92428	3.3	2127136	2129643	color=vvdgreen
1A	3109429	3113311	3.4	1566765	1567066	color=vvdgreen
1A	3109429	3113311	3.4	1567963	1568227	color=vvdgreen
1A	3109429	3113311	3.4	1564796	1565086	color=vvdgreen
