baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.7.1|1767|u|NA|ChrA_C_glabrata_CBS138|cglab	13.48034430037	3.45570617901333	0.765735841540587	4.51292206991485	6.39405209804658e-06	1.98649573012876e-05
MSTRG.13.1|1667|x|CAGL0A00154g-T|ChrA_C_glabrata_CBS138|cglab	169.546022548925	2.13431338863983	0.443098405530118	4.81679320440425	1.45883739611774e-06	4.98150735262741e-06
MSTRG.42.1|1110|x|CAGL0A00715g-T|ChrA_C_glabrata_CBS138|cglab	80.0919401032034	1.07516664391237	0.23572284000857	4.56114750642442	5.08748248349416e-06	1.60032005463492e-05
MSTRG.135.1|2557|x|CAGL0A02233g-T|ChrA_C_glabrata_CBS138|cglab	387.420457871398	2.82492560712753	0.32509796783407	8.68945944494297	3.64168061632604e-18	3.72475645538598e-17
MSTRG.137.1|990|u|NA|ChrA_C_glabrata_CBS138|cglab	42.8296962001889	1.95095407472429	0.614060931486564	3.17713434398321	0.00148738118868344	0.0031642500036145
MSTRG.163.1|901|u|NA|ChrA_C_glabrata_CBS138|cglab	19.7595494128273	2.97126400215917	0.796406639797652	3.73083780782403	0.000190844061829914	0.000472133495366067
MSTRG.286.1|773|x|CAGL0A04675g-T|ChrA_C_glabrata_CBS138|cglab	7.38385250513607	2.03130592603449	0.726182814246477	2.79723767374235	0.00515416027687016	0.00989127328419586
MSTRG.290.1|344|x|CAGL0A04719g-T|ChrA_C_glabrata_CBS138|cglab	11.0523382444686	2.70952418488066	0.643903803213075	4.20796425080913	2.57681619436483e-05	7.37230717146512e-05
MSTRG.300.1|4765|x|CAGL0B00165r-T|ChrB_C_glabrata_CBS138|cglab	1128.47634225286	1.63448720144523	0.32645211321955	5.00682071047272	5.53364258805219e-07	1.99797155992221e-06
MSTRG.312.1|461|x|CAGL0B00462g-T|ChrB_C_glabrata_CBS138|cglab	45.2251788173339	1.66334104175415	0.542935342438812	3.06360796901264	0.00218685276563837	0.00451581646809739
MSTRG.319.1|536|x|CAGL0B00550g-T|ChrB_C_glabrata_CBS138|cglab	199.164913326184	2.57368968155467	0.414277429224	6.2124786435398	5.21552708301726e-10	2.58056237985117e-09
MSTRG.528.1|585|x|CAGL0B03993g-T|ChrB_C_glabrata_CBS138|cglab	10.2556034270721	2.12054133783515	0.661302384071236	3.20661378049217	0.00134307180022705	0.00288632567442098
MSTRG.553.1|632|x|CAGL0B04455g-T|ChrB_C_glabrata_CBS138|cglab	29.0345040633792	2.16409263066705	0.463987038281151	4.6641230295656	3.09935922519939e-06	1.00887148126083e-05
MSTRG.564.1|502|x|CAGL0B04675g-T|ChrB_C_glabrata_CBS138|cglab	11.0657568501954	3.58233575660563	1.124125324626	3.18677613441141	0.00143868082395549	0.00307062428223431
MSTRG.583.1|861|u|NA|ChrB_C_glabrata_CBS138|cglab	7.27122532193647	3.07565082950004	1.08162751896111	2.8435397357994	0.00446154458082046	0.00868429105740432
MSTRG.586.1|3749|x|CAGL0B05049g-T|ChrB_C_glabrata_CBS138|cglab	334.728540201439	2.86820851750773	0.413405141312121	6.93800882205825	3.97664890685234e-12	2.41925127734716e-11
MSTRG.589.1|336|x|CAGL0B05126g-T|ChrB_C_glabrata_CBS138|cglab	11.4032601458795	2.59678296195169	0.692865977014321	3.74788638510101	0.000178330994802414	0.000443187050864314
MSTRG.592.1|1111|x|CAGL0C00110g-T|ChrC_C_glabrata_CBS138|cglab	97.4001488762417	2.11433570884899	0.50010833127795	4.22775542140265	2.36034159262868e-05	6.77963846658506e-05
MSTRG.608.1|990|x|CAGL0C00539g-T|ChrC_C_glabrata_CBS138|cglab	17.9143930643843	-2.8147493615797	0.517882681107041	-5.43511004377055	5.47626248463575e-08	2.22379740846313e-07
MSTRG.614.1|272|x|CAGL0C00649g-T|ChrC_C_glabrata_CBS138|cglab	182.41010875444	3.44456325546683	0.648063727798641	5.31516131471732	1.0656288023388e-07	4.18271576597295e-07
MSTRG.679.1|692|x|CAGL0C01919g-T|ChrC_C_glabrata_CBS138|cglab	10.210507811176	1.80393007496752	0.592327491356237	3.04549442882873	0.00232298082088742	0.00476385728494018
MSTRG.769.1|257|x|CAGL0C03575g-T|ChrC_C_glabrata_CBS138|cglab	17.2906482287123	2.25215390037523	0.547267039206803	4.11527415142607	3.86719494484759e-05	0.000107356480529993
MSTRG.876.1|654|u|NA|ChrC_C_glabrata_CBS138|cglab	14.9202292286349	2.72840173099279	0.787201914967187	3.46594905210122	0.000528363390478989	0.00121017031283256
MSTRG.887.1|2240|u|NA|ChrC_C_glabrata_CBS138|cglab	825.846307426729	1.4376310390445	0.273994204440695	5.24693959121925	1.54646577804237e-07	5.94431296715523e-07
MSTRG.890.1|648|u|NA|ChrC_C_glabrata_CBS138|cglab	15.3871385489231	2.3410122538705	0.706896230478326	3.3116773763052	0.000927384281714244	0.00204468087170813
MSTRG.907.1|812|u|NA|ChrD_C_glabrata_CBS138|cglab	5.69480105245825	4.46672371389196	1.2723578437386	3.5105876352892	0.000447117402269708	0.00103825133567134
MSTRG.908.1|1251|u|NA|ChrD_C_glabrata_CBS138|cglab	10.8315275281111	1.87410081398128	0.553557757412113	3.38555604882626	0.000710342014986959	0.00159680591693154
