fromNode	toNode	weight	direction	fromAltName	toAltName
C1_00680W_A|2124	C1_01510W_A|2154	6.43146396256096e-05	undirected	NA	NA
C1_00680W_A|2124	C1_02630C_A|1440	0.000899440259043237	undirected	NA	NA
C1_00680W_A|2124	C1_04450C_A|833	0.000408362370680694	undirected	NA	NA
C1_00680W_A|2124	C1_04620W_A|1731	0.000456995752756975	undirected	NA	NA
C1_00680W_A|2124	C1_05920W_A|2076	0.00450051939434501	undirected	NA	NA
C1_00680W_A|2124	C1_06280C_A|2532	0.00630312195537018	undirected	NA	NA
C1_00680W_A|2124	C1_07120W_A|1824	0.00766611720913149	undirected	NA	NA
C1_00680W_A|2124	C1_08900W_A|1677	0.0048407163933122	undirected	NA	NA
C1_00680W_A|2124	C1_09180W_A|2631	0.00241462675240988	undirected	NA	NA
C1_00680W_A|2124	C1_09400C_A|1275	0.000189454528825853	undirected	NA	NA
C1_00680W_A|2124	C1_10300W_A|2487	0.00487566455318904	undirected	NA	NA
C1_00680W_A|2124	C1_12010C_A|2715	0.00338564897690104	undirected	NA	NA
C1_00680W_A|2124	C1_13450W_A|2760	0.00199429771362313	undirected	NA	NA
C1_00680W_A|2124	C2_00680C_A|687	0.00198937441958274	undirected	NA	NA
C1_00680W_A|2124	C2_00690W_A|912	0.00143269633833372	undirected	NA	NA
C1_00680W_A|2124	C2_01300C_A|2130	0.00433029571185869	undirected	NA	NA
C1_00680W_A|2124	C2_04970W_A|1833	0.000199147895936856	undirected	NA	NA
C1_00680W_A|2124	C2_07720C_A|2049	0.00604809905468209	undirected	NA	NA
C1_00680W_A|2124	C2_08050C_A|1815	0.00108177482195712	undirected	NA	NA
C1_00680W_A|2124	C2_09810C_A|1305	0.0002590708730355	undirected	NA	NA
C1_00680W_A|2124	C2_10130W_A|3135	0.000795835945060852	undirected	NA	NA
C1_00680W_A|2124	C3_01020W_A|1794	0.00139638889861942	undirected	NA	NA
C1_00680W_A|2124	C3_01360C_A|1791	0.00271107034588179	undirected	NA	NA
C1_00680W_A|2124	C3_02330C_A|933	0.00213171700869978	undirected	NA	NA
C1_00680W_A|2124	C3_03460C_A|816	6.74152480241143e-05	undirected	NA	NA
C1_00680W_A|2124	C3_04530C_A|2232	0.000157985848248249	undirected	NA	NA
C1_00680W_A|2124	C3_04840C_A|1317	0.000390825377872737	undirected	NA	NA
C1_00680W_A|2124	C3_04880W_A|858	8.96405882125434e-05	undirected	NA	NA
C1_00680W_A|2124	C3_05810C_A|2214	0.00116195481447271	undirected	NA	NA
C1_00680W_A|2124	C3_07470W_A|1248	0.000398935359411307	undirected	NA	NA
C1_00680W_A|2124	C4_00110C_A|1665	0.000561725275284464	undirected	NA	NA
C1_00680W_A|2124	C4_00120W_A|660	0.000454287766018222	undirected	NA	NA
C1_00680W_A|2124	C4_00130W_A|726	0.000268749004080255	undirected	NA	NA
C1_00680W_A|2124	C4_00720W_A|825	3.82835123681135e-05	undirected	NA	NA
C1_00680W_A|2124	C4_01230C_A|411	0.000471050160843353	undirected	NA	NA
C1_00680W_A|2124	C4_01320C_A|2838	0.00241193360404524	undirected	NA	NA
C1_00680W_A|2124	C4_01850C_A|1920	0.000990668143740279	undirected	NA	NA
C1_00680W_A|2124	C4_01860C_A|1305	0.00376359848155385	undirected	NA	NA
C1_00680W_A|2124	C4_02030W_A|3336	0.00612655115880125	undirected	NA	NA
C1_00680W_A|2124	C4_02900C_A|1362	0.000261222414426177	undirected	NA	NA
C1_00680W_A|2124	C4_03570W_A|1905	0.00865297623520368	undirected	NA	NA
